n,prime,chi5,S_n,is_tie,gap_to_next_tie
799,13367,-1,0,True,2
800,13397,-1,-1,False,
801,13421,1,0,True,2
802,13451,1,1,False,
803,13457,-1,0,True,2
804,13463,-1,-1,False,
805,13469,1,0,True,2
806,13487,-1,-1,False,
807,13499,1,0,True,8
808,13523,-1,-1,False,
809,13553,-1,-2,False,
810,13577,-1,-3,False,
811,13613,-1,-4,False,
812,13619,1,-3,False,
813,13649,1,-2,False,
814,13679,1,-1,False,
815,13691,1,0,True,2
816,13697,-1,-1,False,
817,13709,1,0,True,4
818,13721,1,1,False,
819,13751,1,2,False,
820,13757,-1,1,False,
821,13763,-1,0,True,20
822,13781,1,1,False,
